Imagen,Tipos de Daño,Piezas del Vehículo,Sugerencia,Tipos de Daño_encoded,Piezas del Vehículo_encoded,Sugerencia_encoded
278.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
279.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
280.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
281.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
281.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
282.jpg,Rotura,Rueda ,Reparar,6,40,1
283.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
283.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
283.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
284.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
285.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
286.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
287.jpg,Rotura,Rueda ,Reemplazar,6,40,2
288.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
288.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
289.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
290.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
291.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
292.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
292.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
293.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
293.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
294.jpg,Rotura,Rueda ,Reparar,6,40,1
295.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
296.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
297.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
297.jpg,Abolladura,Capó ,Reparar,1,3,1
298.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
299.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
299.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
300.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
301.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
302.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
303.jpg,Rotura,Parachoques trasero,Reparar,6,34,1
304.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
305.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
306.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
307.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
308.jpg,Fractura,Guardabarros trasero izquierdo,Reparar,4,14,1
309.jpg,Abolladura,Maletero,Reparar,1,21,1
310.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
311.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
312.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
313.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
313.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
314.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
314.jpg,Deformación,Puerta delantera izquierda,Reparar,2,36,1
315.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
315.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
316.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
316.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
317.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
317.jpg,Deformación,Puerta delantera izquierda,Reemplazar,2,36,2
317.jpg,Desprendimiento,Luz indicadora delantera izquierda,Reemplazar,3,16,2
318.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
319.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
320.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
320.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
320.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
321.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
321.jpg,Desprendimiento,Rueda ,Reemplazar,3,40,2
321.jpg,Rotura,Ventana trasera izquierda,Reemplazar,6,48,2
321.jpg,Rotura,Ventanilla trasera izquierda      ,Reemplazar,6,52,2
322.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
322.jpg,Rotura,Rueda ,Reparar,6,40,1
323.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
324.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
325.jpg,Deformación,Guardabarros delantero izquierdo ,Reparar,2,12,1
325.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
326.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
326.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
327.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
327.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
327.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
328.jpg,Rotura,Ventana trasera derecha,Reemplazar,6,47,2
329.jpg,Deformación,Guardabarros delantero izquierdo ,Reemplazar,2,12,2
329.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
330.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
331.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
332.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
332.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
333.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
333.jpg,Abolladura,Maletero,Reparar,1,21,1
334.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
334.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
335.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
336.jpg,Rotura,Parachoques trasero,Reemplazar,6,34,2
337.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
338.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
338.jpg,Deformación,Puerta delantera derecha,Reparar,2,35,1
339.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
339.jpg,Deformación,Parachoques trasero,Reemplazar,2,34,2
339.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
340.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
341.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
342.jpg,Rotura,Rueda ,Reparar,6,40,1
343.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
344.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
345.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
345.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
346.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
346.jpg,Rotura,Guardabarros delantero izquierdo ,Reemplazar,6,12,2
347.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
348.jpg,Abolladura,Guardabarros delantero izquierdo ,Reemplazar,1,12,2
349.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
350.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
350.jpg,Rayón,Marco de las puertas,Reparar,5,25,1
351.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
352.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
353.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
354.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
355.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
355.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
356.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
357.jpg,Deformación,Puerta delantera izquierda,Reemplazar,2,36,2
358.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
358.jpg,Rotura,Luz indicadora trasera izquierda,Reemplazar,6,18,2
359.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
360.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
361.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
362.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
363.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
363.jpg,Deformación,Parachoques delantero,Reemplazar,2,33,2
363.jpg,Desprendimiento,Rueda ,Reemplazar,3,40,2
364.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
365.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
366.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
366.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
366.jpg,Deformación,Puerta delantera derecha,Reemplazar,2,35,2
367.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
368.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
368.jpg,Abolladura,Capó ,Reparar,1,3,1
368.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
368.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
369.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
369.jpg,Abolladura,Capó ,Reparar,1,3,1
369.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
370.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
370.jpg,Rayón,Maletero,Reparar,5,21,1
371.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
372.jpg,Rotura,Rueda ,Reparar,6,40,1
373.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
374.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
374.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
374.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
375.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
376.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
376.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
377.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
378.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
378.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
379.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
379.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
379.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
380.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
380.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
380.jpg,Abolladura,Capó ,Reparar,1,3,1
380.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
381.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
381.jpg,Rayón,Puerta delantera derecha,Reparar,5,35,1
381.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
382.jpg,Rotura,Rueda ,Reparar,6,40,1
383.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
384.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
385.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
386.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
387.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
388.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
388.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
389.jpg,Rayón,Guardabarros trasero izquierdo,Reparar,5,14,1
390.jpg,Abolladura,Capó ,Reparar,1,3,1
391.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
392.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
392.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
393.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
394.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
394.jpg,Rotura,Manija izquierda,Reemplazar,6,23,2
395.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
395.jpg,Desprendimiento,Antiniebla delantero derecho,Reemplazar,3,1,2
396.jpg,Deformación,Parachoques trasero,Reparar,2,34,1
396.jpg,Deformación,Maletero,Reparar,2,21,1
397.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
398.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
398.jpg,Abolladura,Capó ,Reparar,1,3,1
398.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
398.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
399.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
400.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
401.jpg,Rotura,Rueda ,Reparar,6,40,1
402.jpg,Abolladura,Parabrisas trasero,Reparar,1,32,1
403.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
403.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
404.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
404.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
405.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
405.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
406.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
406.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
407.jpg,Abolladura,Maletero,Reparar,1,21,1
407.jpg,Rotura,Parachoques trasero,Reparar,6,34,1
408.jpg,Rotura,Rueda ,Reparar,6,40,1
409.jpg,Deformación,Guardabarros delantero derecho ,Reemplazar,2,11,2
409.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
409.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
410.jpg,Desprendimiento,Guardabarros delantero derecho ,Reparar,3,11,1
410.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
411.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
412.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
413.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
414.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
414.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
415.jpg,Deformación,Guardabarros delantero derecho ,Reemplazar,2,11,2
415.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
415.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
416.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
417.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
418.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
419.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
419.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
419.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
420.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
420.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
421.jpg,Rotura,Parachoques trasero,Reparar,6,34,1
422.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
422.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
423.jpg,Fractura,Parachoques trasero,Reparar,4,34,1
424.jpg,Rotura,Rueda ,Reparar,6,40,1
425.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
426.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
426.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
427.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
428.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
429.jpg,Rotura,Rueda ,Reparar,6,40,1
430.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
431.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
432.jpg,Deformación,Puerta trasera izquierda,Reemplazar,2,38,2
432.jpg,Deformación,Guardabarros trasero izquierdo,Reparar,2,14,1
433.jpg,Rotura,Ventana trasera derecha,Reemplazar,6,47,2
434.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
435.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
436.jpg,Abolladura,Capó ,Reparar,1,3,1
436.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
436.jpg,Rotura,Espejo lateral derecho,Reemplazar,6,7,2
437.jpg,Deformación,Guardabarros delantero derecho ,Reparar,2,11,1
438.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
438.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
439.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
440.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
441.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
441.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
441.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
441.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
442.jpg,Abolladura,Capó ,Reparar,1,3,1
442.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
442.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
443.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
443.jpg,Rotura,Rueda ,Reparar,6,40,1
444.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
445.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
446.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
446.jpg,Rayón,Guardabarros trasero derecho,Reparar,5,13,1
447.jpg,Rotura,Ventana trasera izquierda,Reemplazar,6,48,2
448.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
449.jpg,Rotura,Ventana trasera derecha,Reparar,6,47,1
450.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
450.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
451.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
452.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
453.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
454.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
454.jpg,Abolladura,Capó ,Reparar,1,3,1
454.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
455.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
456.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
456.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
457.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
457.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
457.jpg,Rotura,Rueda ,Reparar,6,40,1
458.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
458.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
458.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
459.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
459.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
460.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
460.jpg,Deformación,Puerta delantera derecha,Reemplazar,2,35,2
460.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
461.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
461.jpg,Abolladura,Capó ,Reparar,1,3,1
461.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
461.jpg,Rotura,"Rejilla, parrilla",Reemplazar,6,39,2
462.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
463.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
464.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
465.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
466.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
467.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
468.jpg,Rotura,Rueda ,Reparar,6,40,1
469.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
470.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
471.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
472.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
473.jpg,Abolladura,Puerta trasera derecha,Reparar,1,37,1
473.jpg,Abolladura,Guardabarros trasero derecho,Reparar,1,13,1
473.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
474.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
474.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
475.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
476.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
476.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
477.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
478.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
478.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
478.jpg,Rotura,Antiniebla delantero izquierdo,Reemplazar,6,2,2
478.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
479.jpg,Rayón,Puerta trasera derecha,Reparar,5,37,1
480.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
481.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
482.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
483.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
483.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
484.jpg,Rayón,Puerta trasera izquierda,Reparar,5,38,1
485.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
486.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
487.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
487.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
488.jpg,Abolladura,Maletero,Reparar,1,21,1
489.jpg,Rotura,Parabrisas trasero,Reemplazar,6,32,2
490.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
490.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
490.jpg,Deformación,Maletero,Reparar,2,21,1
490.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
491.jpg,Rotura,Luz trasera derecho,Reemplazar,6,19,2
492.jpg,Abolladura,Puerta delantera derecha,Reparar,1,35,1
492.jpg,Deformación,Guardabarros delantero derecho ,Reparar,2,11,1
493.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
494.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
495.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
496.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
497.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
498.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
499.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
500.jpg,Rotura,Luz trasera izquierdo,Reparar,6,20,1
501.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
501.jpg,Abolladura,Faros derecho,Reemplazar,1,9,2
501.jpg,Abolladura,Capó ,Reparar,1,3,1
501.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
501.jpg,Rotura,Luz indicadora delantera derecha,Reemplazar,6,15,2
502.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
503.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
504.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
505.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
506.jpg,Desprendimiento,Parachoques trasero,Reparar,3,34,1
506.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
507.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
508.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
508.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
508.jpg,Abolladura,Capó ,Reparar,1,3,1
508.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
509.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
510.jpg,Abolladura,Capó ,Reparar,1,3,1
510.jpg,Rotura,"Rejilla, parrilla",Reemplazar,6,39,2
511.jpg,Rotura,Ventanilla trasera derecha      ,Reemplazar,6,51,2
511.jpg,Rotura,Rueda ,Reemplazar,6,40,2
512.jpg,Rotura,Rueda ,Reparar,6,40,1
513.jpg,Abolladura,Capó ,Reparar,1,3,1
514.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
515.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
515.jpg,Abolladura,Capó ,Reparar,1,3,1
515.jpg,Fractura,Parachoques delantero,Reparar,4,33,1
515.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
516.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
517.jpg,Rayón,Puerta trasera izquierda,Reparar,5,38,1
517.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
517.jpg,Rayón,Marco de las puertas,Reparar,5,25,1
518.jpg,Rayón,Parachoques trasero,Reparar,5,34,1
519.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
520.jpg,Fractura,Guardabarros trasero izquierdo,Reparar,4,14,1
520.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
521.jpg,Rotura,Rueda ,Reparar,6,40,1
522.jpg,Desprendimiento,Parachoques delantero,Reparar,3,33,1
522.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
522.jpg,Rotura,Rueda ,Reparar,6,40,1
523.jpg,Abolladura,Marco de las puertas,Reparar,1,25,1
523.jpg,Rayón,Puerta delantera izquierda,Reparar,5,36,1
524.jpg,Rotura,Rueda ,Reparar,6,40,1
525.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
526.jpg,Rayón,Marco de las puertas,Reparar,5,25,1
526.jpg,Rotura,Puerta trasera derecha,Reemplazar,6,37,2
526.jpg,Rotura,Puerta delantera derecha,Reparar,6,35,1
527.jpg,Abolladura,Parachoques trasero,Reparar,1,34,1
527.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
528.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
528.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
528.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
529.jpg,Abolladura,Puerta delantera izquierda,Reparar,1,36,1
529.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
529.jpg,Deformación,Marco de las puertas,Reparar,2,25,1
530.jpg,Abolladura,Puerta trasera izquierda,Reparar,1,38,1
530.jpg,Abolladura,Guardabarros trasero izquierdo,Reparar,1,14,1
531.jpg,Rotura,Luz trasera izquierdo,Reemplazar,6,20,2
532.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
533.jpg,Abolladura,Guardabarros delantero izquierdo ,Reparar,1,12,1
533.jpg,Abolladura,Capó ,Reparar,1,3,1
533.jpg,Rotura,Faros izquierdo,Reemplazar,6,10,2
533.jpg,Rotura,Parachoques delantero,Reemplazar,6,33,2
534.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
534.jpg,Rayón,Guardabarros delantero izquierdo ,Reparar,5,12,1
535.jpg,Rayón,Parachoques delantero,Reparar,5,33,1
536.jpg,Rotura,Guardabarros delantero derecho ,Reemplazar,6,11,2
536.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
536.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
537.jpg,Rotura,Faros derecho,Reemplazar,6,9,2
537.jpg,Rotura,Parachoques delantero,Reparar,6,33,1
538.jpg,Abolladura,Parachoques delantero,Reparar,1,33,1
538.jpg,Abolladura,Guardabarros delantero derecho ,Reparar,1,11,1
538.jpg,Rotura,Luz indicadora delantera derecha,Reemplazar,6,15,2
539.jpg,Rotura,Parabrisas delantero,Reemplazar,6,31,2
