Imagen|damages|parts|suggestions
460.jpg|[1, 2, 6]|[11, 35, 9]|[1, 2, 2]
317.jpg|[1, 2, 3]|[12, 36, 16]|[1, 2, 2]
922.jpg|[5]|[33]|[1]
1065.jpg|[5]|[33]|[1]
607.jpg|[5]|[8]|[1]
765.jpg|[1, 1]|[3, 33]|[1, 1]
848.jpg|[6]|[31]|[2]
357.jpg|[2]|[36]|[2]
771.jpg|[1]|[37]|[1]
755.jpg|[4]|[34]|[1]
1052.jpg|[1, 1, 6]|[34, 21, 20]|[1, 1, 2]
64.jpg|[1]|[12]|[1]
1063.jpg|[6]|[31]|[2]
69.jpg|[5]|[34]|[1]
23.jpg|[1]|[33]|[1]
1130.jpg|[5]|[34]|[1]
47.jpg|[6]|[40]|[1]
526.jpg|[5, 6, 6]|[25, 37, 35]|[1, 2, 1]
998.jpg|[1]|[35]|[1]
738.jpg|[6]|[40]|[1]
646.jpg|[1, 1]|[11, 33]|[1, 1]
86.jpg|[5]|[33]|[1]
960.jpg|[1]|[36]|[1]
1067.jpg|[6]|[31]|[2]
978.jpg|[5, 5]|[13, 37]|[1, 1]
455.jpg|[6]|[31]|[2]
480.jpg|[6]|[31]|[2]
915.jpg|[4]|[33]|[1]
990.jpg|[6]|[50]|[2]
1002.jpg|[1]|[11]|[1]
147.jpg|[6]|[31]|[2]
568.jpg|[6]|[31]|[2]
732.jpg|[6]|[40]|[1]
1009.jpg|[5]|[33]|[1]
1128.jpg|[5]|[11]|[1]
242.jpg|[1, 1, 1, 1]|[34, 13, 37, 25]|[1, 1, 1, 1]
1111.jpg|[1]|[34]|[1]
109.jpg|[1, 1]|[14, 25]|[1, 1]
